Recipe,Cuisine,Vegetarian,Vegan,Rose House Dining Room,104West!,Becker House Dining Room,Cook House Dining Room,Jansen's Dining Room at Bethe House,Keeton House Dining Room,Morrison Dining,North Star Dining Room,Okenshields,Risley Dining Room,Straight from the Market
Steamed Jasmine Rice,Asian,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"Roast Pork Porchetta ",None,N,N,N,N,Y,N,N,N,N,N,N,N,N
Meatless Greek Style Chick'n,Greek,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
Haitian Rice & Beans,Haitian,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
"Chopped Cheese Sandwich ",None,Y,N,N,N,Y,N,N,N,N,N,N,N,N
Apple Cinnamon Overnight Oats,None,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
Malted Vanilla Waffle Batter,None,N,N,N,N,Y,N,N,N,N,N,N,N,N
Lemon Honey Dressing,None,Y,N,N,N,Y,N,N,N,N,N,N,N,N
House Honey Balsamic Vinaigrette,None,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
Creamy Italian Dressing,Italian,Y,N,N,N,Y,N,N,N,N,N,N,N,N
Cranberry Apple Wheat Berry Salad,None,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N
Buttermilk Ranch Dressing,American,Y,N,N,N,Y,N,N,N,N,N,N,N,N
Buttered Corn,None,Y,N,N,N,Y,N,N,N,N,N,Y,N,N
Quinoa,NOne,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N
Assorted Pastries,Dessert,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N
Sliced Peaches in Juice,None,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N
Cottage Cheese,None,Y,N,N,N,Y,N,Y,N,N,N,N,N,N
Applesauce,None,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N
Cornell Dairy Ice Cream Bar,None,Y,N,N,N,Y,N,N,Y,N,N,Y,N,N
Cornell Broccoli Cheddar Soup,None,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N
"French Fries ",American,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y
Sesame Marinated Tofu,Asian,Y,Y,Y,N,Y
Roasted Corn & Black Bean Salad,Mexican,Y,Y,Y,Y,Y,N,N,N,N,N,Y
Hot & Cold Beverage Service,None,Y,Y,Y,N,Y,N,Y
Healthy Style Salad Station,None,Y,Y,Y,N,Y,Y,Y,Y
Fresh Fruit Slices,None,Y,Y,Y,N,Y,Y,N,N,N,N,Y
Cornell Dairy Yogurt,None,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y
Steamed Jasmine Rice,Chinese,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Tuna Salad,None,N,N,N,Y,Y,Y,N,N,Y
Sauteed Zucchini,None,Y,Y,N,Y,Y,N,N,N,N,Y
Fresh Whole Fruit,None,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
