Recipe,Cuisine,Vegetarian,Vegan,Rose House Dining Room,104West!,Becker House Dining Room,Cook House Dining Room,Jansen's Dining Room at Bethe House,Keeton House Dining Room,Morrison Dining,North Star Dining Room,Okenshields,Risley Dining Room,Straight from the Market
Steamed Jasmine Rice,Asian,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Vegetable Strata,American,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
Chicken Breakfast Sausage,None,N,N,N,N,Y,N,N,N,N,Y,N,N,N
Roasted Roma Tomatoes,None,N,N,N,N,Y,N,N,N,N,N,N,N,N
Assorted Cereal & Bagels,None,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
Apple Cinnamon Overnight Oats,None,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
Malted Vanilla Waffle Batter,None,N,N,N,N,Y,N,N,N,N,N,N,N,N
Lemon Honey Dressing,None,Y,N,N,N,Y,N,N,N,N,N,N,N,N
House Honey Balsamic Vinaigrette,None,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
Creamy Italian Dressing,Italian,Y,N,N,N,Y,N,N,N,N,N,N,N,N
Cranberry Apple Wheat Berry Salad,None,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N
Buttermilk Ranch Dressing,American,Y,N,N,N,Y,N,N,N,N,N,N,N,N
Breakfast Meat & Cheese Pizza,American,N,N,N,N,Y,N,N,N,Y,N,N,N,N
Steamed Fresh Broccoli,None,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N
Fresh Baked Assorted Muffins,Dessert,N,N,N,N,Y,N,Y,N,N,Y,N,N,N
"Kale, Quinoa & Chickpeas",None,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N
Sliced Peaches in Juice,None,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N
Scrambled Tofu,None,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N
Roasted Mushrooms,None,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N
Oatmeal with Brown Sugar & Raisins,None,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N
Mini Cinnamon Twist,None,N,N,N,N,Y,N,Y,N,N,Y,N,N,N
Cottage Cheese,None,Y,N,N,N,Y,N,Y,N,N,N,N,N,N
Applesauce,None,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N
French Toast Sticks,None,N,n,N,N,Y,Y,Y,Y,Y,Y,N,N,N
"French Fries ",American,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y
Roasted Corn & Black Bean Salad,Mexican,Y,Y,Y,Y,Y,N,N,N,N,N,Y
Hot & Cold Beverage Service,None,Y,Y,Y,N,Y,N,Y
Healthy Style Salad Station,None,Y,Y,Y,N,Y,Y,Y,Y
Fresh Fruit Slices,None,Y,Y,Y,N,Y,Y,N,N,N,N,Y
Cornell Dairy Yogurt,None,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y
Steamed Jasmine Rice,Chinese,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Fresh Whole Fruit,None,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
