Recipe,Cuisine,Vegetarian,Vegan,Rose House Dining Room,104West!,Becker House Dining Room,Cook House Dining Room,Jansen's Dining Room at Bethe House,Keeton House Dining Room,Morrison Dining,North Star Dining Room,Okenshields,Risley Dining Room,Straight from the Market
Western Scrambled Tofu,None,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N
Sauteed Broccoli & Cauliflower,None,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N
Root Vegetable Homefries,None,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
Lap Cheong Sausage & Egg Scramble,Chinese,N,N,N,N,N,N,N,N,Y,N,N,N,N
Greek Omelet,Greek,N,N,N,N,N,N,N,N,Y,N,N,N,N
Fresh Fruit Smoothies,None,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N
Corned Beef Hash,English,N,N,N,N,N,N,N,N,Y,N,N,N,N
Congee Bar,Asian,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
Breakfast Meat & Cheese Pizza,American,N,N,N,N,Y,N,N,N,Y,N,N,N,N
Assorted Small Muffins,Dessert,N,N,N,N,N,N,N,N,Y,N,N,N,N
Assorted Mini Bagels,None,N,N,N,N,N,N,N,N,Y,N,N,N,N
Oatmeal with Brown Sugar & Raisins,None,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N
French Toast Sticks,None,N,n,N,N,Y,Y,Y,Y,Y,Y,N,N,N
Fruit & Yogurt Bar,None,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N
Overnight Oats with Blueberry & Banana,Dessert,Y,Y,N,N,N,N,N,N,Y,N,N,Y
Coconut Chia Seed Pudding,Dessert,Y,Y,N,N,N,N,N,N,Y,N,N,Y
Fresh Whole Fruit,None,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
Assorted Hot & Cold Beverages,None,Y,Y,N,Y,N,N,N,N,Y
Flavor Infused Water Station,None,Y,Y,N,N,N,N,N,N,Y,Y
Assorted Cereals,None,Y,Y,N,N,N,N,N,N,Y
Assorted Salad Bar Toppings,None,Y,Y,N,N,N,N,N,N,Y
Waffle Bar,None,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y
